,career_level,hard_skills,id,soft_skills,text,title,url
0,,[],0,"['literacy', 'problem-solver', 'organised']","In order to apply for this post you must be organised, have a high standard of literacy, a full UK driving licence, able to work within a team or on your own, be willing to do overtime and have experience of working in a data centre or computer room environment.  You must also be a good problem-solver.",Data Centre Technician,https://leeds.tech/job/data-centre-technician/
1,,[],1,['all-rounder'],"You will be educated to degree level in marketing, with at least three years'experience in a marketing or consulting capacity.  You'll be an all-rounder: SEA, PPC, Mobile social media, online PR and web development savvy.",Digital Marketing Consultant,https://leeds.tech/job/digital-marketing-consultant/
2,,"['chef', 'provisioning', 'bash', 'python', 'ruby', 'configuration management', 'puppet']",2,[],"Applicants will have a minimum 5 years’ experience in a delivery focussed environment and must be able to demonstrate:
Strong commercial experience of managing complex multi-tier enterprise infrastructure environments
In-depth configuration management, automation and scripting skills including use of a scripting language such as Python or Ruby, proficiency with shell scripting (e.g. BASH)
In-depth knowledge of platform and application automated deployment technologies (e.g. Cobbler, Puppet, Chef, Tivoli Provisioning Manager, Foreman)  and much more.",Platform Engineer – Windows,https://leeds.tech/job/platform-engineer-windows/
3,,"['chef', 'provisioning', 'bash', 'python', 'ruby', 'configuration management', 'puppet']",3,[],"Applicatns will have a minimum 5 years’ experience in a delivery focussed environment and must be able to demonstrate:
Strong commercial experience of managing complex multi-tier enterprise infrastructure environments
In-depth configuration management, automation and scripting skills including use of a scripting language such as Python or Ruby, proficiency with shell scripting (e.g. BASH)
In-depth knowledge of platform and application automated deployment technologies (e.g. Cobbler, Puppet, Chef, Tivoli Provisioning Manager, Foreman) and more....",Platform Engineer – Linux and AWS,https://leeds.tech/job/platform-engineer-linux-and-aws/
4,junior,"['windows', 'linux', '.net|dotnet|dotnetcore']",4,"['communication', 'organised']","We are looking for a graduate who is familiar with the Linux environment, systems administration and networking, with a knowledge of Windows, who is well organised and can work alone as well as within a team.  It is also necessary to have very good communication skills, especially for producing written documents.",Graduate Tech Operations Engineer,https://leeds.tech/job/graduate-tech-operations-engineer/
5,mid-level,[],5,[],"You will have a minimum of 3 years' experience in an SEO role.  You will have carried out SEO audits, be well versed in Microsoft Office, able to produce high quality reports, and be a team member but also able to work alone.  You will have project management skills and experience and in a position to provide evidence of ROI via your use of SEO strategy.",SEO Lead,https://leeds.tech/job/seo-lead-2/
6,senior,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'php', 'html', 'jquery', 'sass', 'css', 'less', 'version control']",6,['enthusiasm'],"We are looking for someone with enthusiasm for and interest in tech; someone with HTML5, CSS3, JavaScript, jQuery, PHP, SASS/LESS skills and experience with task automation, media queries, responsive design, developing WordPress, version control and a portfolio which showcases your skills and experience.",Senior Developer,https://leeds.tech/job/senior-developer/
7,junior,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'php', 'html', 'jquery', 'sass', 'css', 'less', 'version control']",7,['enthusiasm'],"Together with an enthusiasm for tech and an avid interest in trends, you will have the following skills and experience:  HTML5, CSS3, JavaScript, jQuery, PHP, SASS/LESS, task automation, media queries, responsive design, development of the WordPress platform, version control and a portfolio which showcases your development experience.",Junior and Mid-Weight Developers,https://leeds.tech/job/junior-and-mid-weight-developers/
8,,"['jira', '.net|dotnet|dotnetcore']",8,['problem-solving'],"Knowledge and skills required are problem-solving, working to tight deadlines and understanding the ticket escalation process, carrying out network look ups, SMS, SMPP, VoIP/SIP, MVNOs, JIRA and Confluence.  You will be happy to join the on call rota, work extended shifts and some week-ends.",Technical Support Analyst,https://leeds.tech/job/technical-support-analyst-2/
9,senior,"['javascript|js|es6|ecmascript|ecmascript7', 'aws', 'jenkins', 'html', 'kubernetes', 'aws|amazon web services', 'css', 'react']",9,[],"You will demonstrate strengths in:  React and other JS/HTML/CSS for client side; Node and PHO for server side and Kubernetes, AWS, Dcket and Jenkins for deployment.",Tech Lead,https://leeds.tech/job/tech-lead/
10,,[],10,['leadership'],"You will have a strong and varied design history and stakeholder management experience, with a tried and tested toolkit and leadership skills across multiple products.",Lead Interaction Designer – Gaming Tribe,https://leeds.tech/job/29676/
11,,"['agile', 'scrum', 'sql']",11,"['analytical', 'problem-solving', 'driven']","We are looking for someone who is driven; someone with problem-solving skills and very strong analytical skills, preferably used to Agile/Scrum working.  You should have knowledge and experience of data query tools and SQL.",Data Quality Analyst,https://leeds.tech/job/29673/
12,,"['mysql', 'linux']",12,"['flexible', 'customer service']","Applicants will be flexible to work week-ends, extended shifts and join the on-call rota.  Experience in a similar role is required, with skills which include excellent customer service and SMS, SMPP, VoIP/SIP, MVNO, JIRO, COnfluence, Linux/MySQL and much more.",2nd Line Technical Operations Technician,https://leeds.tech/job/2nd-line-technical-operations-technician/
13,,"['javascript', 'integration', 'javascript|js|es6|ecmascript|ecmascript7', 'fireworks', 'html', 'photoshop', 'jquery', 'css']",13,[],"Rather than looking at your years of experience, we will expect you to attend a trial day at Parallax.  Your skills should include:  HTML5, CSS3, Cross-browser compatibility, JavaScript, jQuery , integration with service-side code, responsive web design, and chopping up designs in Sketch, Photoshop and Fireworks.",Front End Web Developer,https://leeds.tech/job/front-end-web-developer-3/
14,,['agile'],14,['communicate'],"Ideally, applicants will have hands-on business analyst experience in a lead role on large-scale software development projects sometimes complex and using agile methodologies.  Experience is also required of stakeholder management and using a variety of techniques to understand and communicate requirements.",Business Analyst,https://leeds.tech/job/business-analyst-2/
15,,[],15,['creative'],You will ideally have experience in a similar role and be able to demonstrate the execution of creative digital campaigns.  You have a natural affinity with content and an excellent understanding of digital marketing.,Digital Marketing Executive,https://leeds.tech/job/digital-marketing-executive-4/
16,peak,['javascript|js|es6|ecmascript|ecmascript7'],16,"['exacting', 'mentor']","You are a technical authority who leads by example.  Your full lifecycle experience and familiarity with evaluating a new Open SOurce technology and working with testers and support desk staff facilitate your position as a mentor, helping already experienced developers meet bjss exacting standards.",Technical Architect,https://leeds.tech/job/technical-architect/
17,,"['php', 'aws', 'linux', 'python', 'aws|amazon web services', 'sql']",17,[],"In addition to a UK full driving licence and your own vehicle, you will have knowledge and experience of the following:  AWS services and solutions, setting up Linux-based servers, SQL database, PHP/Python and CI tools.  You will also be adept at simplifying complex language so that all can understand.",Development Operations Engineer,https://leeds.tech/job/development-operations-engineer/
18,,['excel'],18,"['written English', 'analytical', 'problem-solving']","You have an understanding of digital marketing and are keen to know more.  You have analytical and problem-solving skills, alongside the ability to report astutely with strong written English.  You are also familiar with MS Office, especially Excel.",Digital Marketing Executive/Consultant,https://leeds.tech/job/digital-marketing-executive-consultant/
19,,[],19,['diverse'],"You will be involved with work for a diverse range of clients and budgets from £15,000 to £500,000.  There are opportunities to explore other areas in the Biddable Media Team.",PPC Experts,https://leeds.tech/job/ppc-experts/
20,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'html', 'css']",20,"['communication', 'keen to learn', 'enthusiastic', 'team player', 'problem-solving']","You should be keen to learn and enthusiastic about developing great software.  You will have excellent communication and problem-solving skills, be a team player and have a focus on security.  Your skills will include:  HTML, JavaScript, CSS and database design.",Full Stack PHP Developer,https://leeds.tech/job/full-stack-php-developer/
21,,[],21,"['maths', 'reliable']","You will have GCSE Maths and English (or equivalents) at least at grade B, alongside at least 3 other GCSEs at grade B or above.  You will also have at least 240 UCAS points in Physics, Maths and Technology.  You must be capable of clearing security checks and be reliable and honest.",IT Apprenticeship,https://leeds.tech/job/it-apprenticeship/
22,peak,['mvc'],22,[],"First Locate is looking for someone with an understanding of 00 programming, experience with MVC frameworks and knowledge of a wide range of core skills as listed below:",Development Architect/Engineer,https://leeds.tech/job/development-architect-engineer/
23,junior,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'sqlserver|sql server|sqldatatools', 'php', 'html', 'bootstrap', 'c', 'mvc', 'css', 'sql']",23,[],"A recent 2.1 or above graduate would thrive on this opportunity to build on existing skills.  Desirable skills for the role are; C#, .NET, PHP, SQL Server, HTML, CSS, JavaScript, MVC, Entity Framework and Bootstrap, but attitude and willingness to learn are more important and a structured training program will be provided if you have what it takes.",Graduate Web Developer,https://leeds.tech/job/graduate-web-developer/
24,senior,['cisco'],24,[],"Netpremacy is a global IT solutions provider based in Leeds, UK. Specialising in the design and deployment of cloud services, we partner with leading corporations including Cisco, Proofpoint, and Google. As a Google Premier Partner, we supply organisations with cutting edge cloud solutions from Google, including G Suite, Google Drive, and Chrome devices.",Senior Google Cloud Platform Engineer,https://leeds.tech/job/senior-google-cloud-platform-engineer/
25,,['cisco'],25,[],"Netpremacy is a global IT solutions provider based in Leeds, UK. Specialising in the design and deployment of cloud services, we partner with leading corporations including Cisco, Proofpoint, and Google. As a Google Premier Partner, we supply organisations with cutting edge cloud solutions from Google, including G Suite, Google Drive, and Chrome devices.",Support Technician,https://leeds.tech/job/support-technician/
26,junior,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'sqlserver|sql server|sqldatatools', 'html', 'asp', '.net|dotnet|dotnetcore', 'c', 'css', 'sql']",26,[],"You will have at least 2 years' commercial experience and will be able to utilise your existing skills in ASP.net, C#, SQL Server, HTML, CSS and JavaScript to design, implement and test a software portfolio for a range of clients.",Junior .NET Developer,https://leeds.tech/job/junior-net-developer/
27,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'html', 'bootstrap', 'svn', 'jquery', 'asp', '.net|dotnet|dotnetcore', 'git', 'sass', 'c', 'mvc', 'css', 'less', 'sql']",27,[],"Essential skills:    > Visual Studio  > Microsoft SQL (including stored procedures, TSQL, Indexing and SSMS)  > ASP.NET MVC  > C#
> Web API (restful and 3rd party)   > JavaScript/jQuery (and associated skills such as Typescript, JSON)   > HTML   > CSS/LESS/SASS 
  and UI frameworks (e.g. Bootstrap, Foundation)   > ORMs, such as Entity Framework, Hibernate   > Dependency injection (e.g.Ninject, Unity, Windsor)   > Software architecture patterns, such as MVC, MVVM, SOLID, IOC etc.   > Experience of testing and mocking 
  frameworks (e.g. N & X Unit, MS Test)   > Source control (e.g. GIT, SVN)
",Experience .NET Developer,https://leeds.tech/job/experience-net-developer/
28,,[],28,[],"This is an opportunity to spend 12 months working with experienced developers and a wide range of projects and languages, and would suit a college or university student or a post-grad wishing to build skills for the tech industry.",Internship,https://leeds.tech/job/internship/
29,junior,[],29,"['time management', 'literacy', 'problem-solver', 'communicator']","With high level IT literacy, at least one year in a project management role with an understanding of approaches and methods, you will also be a good communicator and problem-solver, methodical and able to demonstrate excellent time management skills.",Junior Project Manager,https://leeds.tech/job/junior-project-manager/
30,senior,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'sqlserver|sql server|sqldatatools', 'azure|azuredevops', 'jquery', 'c', 'mvc', 'sql', 'react']",30,"['leader', 'leadership']","If you are motivational and a strong leader with previous roles in a technical leadership capacity, then we want to hear from you!
You will have significant experience as a developer within a .Net software development environment and have strong technical skills in; C#, MS MVC, SQL and XML. Additionally, you will have a good level of understanding in SQL Server, XSLT/XSD, Javascript, Design Patterns and Web Services along with a successful track record of delivering sizeable systems development projects.
Knowledge of Azure, IIS, VSTS, REACT, .Net CORE, Active MQ, jQuery and CMS would be a distinct advantage, however this is not essential.

",Lead Developer,https://leeds.tech/job/lead-developer/
31,,[],31,[],"As the UK’s largest Retail, Digital and Commercial bank our Group has a huge responsibility to support the UK economy",IT Cyber Security – UNIX Technical Specialist,https://leeds.tech/job/it-cyber-security-unix-technical-specialist-draft-organisation-lloyds-banking-group/
32,,"['agile', 'csharp|c#', 'c', 'sql']",32,[],"We are looking for someone with great programming skills in various language, especially C# and SQL; someone who is used to working with agile methodologies and understands design and architecture.",Developer in Test,https://leeds.tech/job/developer-in-test/
33,,"['vmware*', 'windows server', 'windows']",33,[],"You will have experience with a range of end user support and administration, including Office 364, WIndows Server, Hyper-V, VMware, Skype for Business, networks and firewalls, and you will be used to managing tickets, from notification of the issue through to resolution.",2nd Line Support/Service Desk Engineer,https://leeds.tech/job/2nd-line-support-service-desk-engineer/
34,,"['agile', 'csharp|c#', 'sqlserver|sql server|sqldatatools', 'c', 'sql']",34,"['passion', 'communicator']","Whilst it will be an advantage if you are educated to degree level, we are looking for someone with a passion for technology who is a good communicator and can work well with teams, with a knowledge of agile and experience in some or all of the following:  .NET, C#, SQL Server, WFP and WCF.",Developer,https://leeds.tech/job/developer-2/
35,,['agile'],35,"['communicator', 'leadership']","You will have a degree or equivalent in software engineering and experience in agile software engineering methodologies, together with a high level of experience of defining and implementing software, and experience of evaluating and selecting appropriate tools and techniques for the agile environment.  You will have substantial experience in the software development industry, high level decision-making and leadership skills and be an all-round excellent communicator.",Expert Tester,https://leeds.tech/job/expert-tester/
