,snippet,job_id,Url
0,"Network engineers enable data to pass between computers in a network to aid 
communication between users ... You could work with a variety of network types, 
such as: ... data centres; liaise with project management teams, third-line 
engineers and ... Employers will usually expect you to do further study to get 
professional ...",0,https://www.prospects.ac.uk/job-profiles/network-engineer
1,"If you're interested in marketing communications and like to keep abreast of new 
trends and developments, you could make a great digital marketer. Digital ...",1,https://www.prospects.ac.uk/job-profiles/digital-marketer
2,"Software engineering is a branch of computer science which includes the 
development and building of computer systems software and applications 
software.",2,https://www.careerexplorer.com/careers/software-engineer/
3,"Nevertheless, as software engineers often manage the support systems required 
to effectively run an organisation, the role can also require you to communicate ...",3,https://www.prospects.ac.uk/job-profiles/software-engineer
4,"You will need a thorough understanding of the operational processes of an ... for 
graduates entering control and instrumentation engineering range from £20,000 
... the imbalance by promoting women in science, technology and engineering.",4,https://www.prospects.ac.uk/job.../control-and-instrumentation-engineer
5,"You can work in house, typically in the marketing department of an ... of digital 
marketing services, including PPC services, SEO, content marketing and digital 
PR. ... As you develop in your role, you'll take the lead in managing relationships
 ...",5,https://www.prospects.ac.uk/job-profiles/ppc-specialist
6,"A security software developer is someone who develops security software as well 
as integrates security into software during the course of design and development
 ...",6,https://www.careerexplorer.com/careers/security-software-developer/
7,"Your primary task as a web developer will be to create reliable and ... Salaries for 
junior or entry-level web developers can range from £19,000 to £25,000. Mid-
level and senior web developers usually earn between £25,000 and £35,000.",7,https://www.prospects.ac.uk/job-profiles/web-developer
8,"Technical support specialists are able to deal with most customer issues over the 
telephone or through email, however some issues need to be dealt with on site, ...",8,https://www.careerexplorer.com/careers/technical-support-specialist/
9,"A technical artist works closely with the lead artist and the creative director, as 
well as the lead programmers. Their responsibilities include setting up and ...",9,https://www.careerexplorer.com/careers/technical-artist/
10,"Most designers will spend at least some of their time as testers, where they can 
experiment with coding and watch others' mistakes firsthand. Lead designers are
 ...",10,https://www.careerexplorer.com/careers/video-game-designer/
11,"business intelligence; data assurance; data quality; finance; higher education; 
marketing; sales. Responsibilities. As a data analyst, you'll need ...",11,https://www.prospects.ac.uk/job-profiles/data-analyst
12,"technician. You can also work within first or second-line support. The work is as 
much about understanding how information systems are used as applying ...",12,https://www.prospects.ac.uk/job-profiles/it-technical-support-officer
13,"The web would be a dust bowl of HTML and ""Under Construction"" GIFs without 
front-end developers taking the backend data and creating a user-facing ...",13,https://www.careerexplorer.com/careers/front-end-developer/
14,"A business analyst is someone who analyzes information and investigates the 
goals and issues of a company. They advise organizations on how to improve 
their ...",14,https://www.careerexplorer.com/careers/business-analyst/
15,"If you're interested in marketing communications and like to keep abreast of new 
trends and developments, you could make a great digital marketer. Digital ...",15,https://www.prospects.ac.uk/job-profiles/digital-marketer
16,"He or she must have a balanced mix of technical and business skills, and will 
often work with an enterprise architect for strategic direction. The main focus is on
 ...",16,https://www.careerexplorer.com/careers/solution-architect/
17,"Discover what it takes to be a Control and instrumentation engineer. ... 
collaboratively with design engineers, operation engineers, purchasers and other 
internal ... If your undergraduate degree did not include control engineering 
content, some ... Professional bodies also support continuing professional 
development (CPD), ...",17,https://www.prospects.ac.uk/job.../control-and-instrumentation-engineer
18,"Discover what it takes to be a Marketing executive. ... marketing campaigns, 
advertising and SEO to make sure the correct mediums are being used and ... For 
example, salaries are often higher for digital marketing. ... Other opportunities 
include setting up as a freelance marketing consultant or moving into a related 
role, ...",18,https://www.prospects.ac.uk/job-profiles/marketing-executive
19,"PPC specialists are usually office based but will often spend time meeting clients 
and stakeholders and attending events. You'll be expected to network and ...",19,https://www.prospects.ac.uk/job-profiles/ppc-specialist
20,"They can work with databases, PHP, HTML, CSS, JavaScript and everything in 
between. In this article: What is a Full Stack Developer? What does a Full Stack ...",20,https://www.careerexplorer.com/careers/full-stack-developer/
21,"After completing an apprenticeship program, they are considered journey 
workers who do tasks with less guidance. Up Next. Ironworker Thumbnail. 
Ironworker.",21,https://www.careerexplorer.com/careers/ironworker/how-to-become/
22,"What is the difference between a civil engineer and an architect? ... Civil 
engineers do a lot more than design buildings and bridges. ... These engineers 
are typically employed or contracted by construction and development 
companies.",22,https://www.careerexplorer.com/careers/civil-engineer/
23,"Whether you're in an agency or working as a freelancer, your job will be to create 
... Salaries for junior or entry-level web developers can range from £19,000 to ...",23,https://www.prospects.ac.uk/job-profiles/web-developer
24,"Much of a software engineer's career path will involve spending several years as 
a senior web developer. People who don't like the idea of management and ...",24,https://www.careerexplorer.com/careers/software-engineer/
25,"maintenance engineer; technician. You can also work within first or second-line 
support. The work is as much about understanding how information systems are
 ...",25,https://www.prospects.ac.uk/job-profiles/it-technical-support-officer
26,"In order to make the server, application, and database communicate with each 
other, back-end developers use languages like PHP, Ruby, Python, Java, and .
Net ...",26,https://www.careerexplorer.com/careers/back-end-developer/
27,"In order to make the server, application, and database communicate with each 
other, back-end developers use languages like PHP, Ruby, Python, Java, and .
Net ...",27,https://www.careerexplorer.com/careers/back-end-developer/
28,"Undertaking a sandwich placement as part of your degree could be a good way 
to get industry experience and to build contacts in the field. Internships do come ...",28,https://www.prospects.ac.uk/job-profiles/game-artist
29,"assistant project manager; business change manager; junior/senior project ... 
Freelance project managers will negotiate a daily rate for the duration of their ... 
PRINCE2 - is the commonly used accredited approach for end-to-end project ...",29,https://www.prospects.ac.uk/job-profiles/project-manager
30,"Create secure software tools and systems with a team of developers; Provide 
engineering designs for new software solutions; Take a lead in software design, ...",30,https://www.careerexplorer.com/careers/security-software-developer/
31,"Database administrators use specialist software to organise and maintain a ... a 
database administrator (DBA) will be the performance, integrity and security ... 
For information and jobs for women who want to work in technology take a ... 
Most positions require knowledge of structured query language (SQL), Unix and 
DBMS.",31,https://www.prospects.ac.uk/job-profiles/database-administrator
32,"An app developer is a computer software engineer whose primary 
responsibilities include creating, testing and programming apps for computers, 
mobile phones ...",32,https://www.careerexplorer.com/careers/app-developer/
33,"network architect/computer network architect; network/helpdesk support ... IT/
systems support engineer; network administrator; first/second-line support; VoIP/
Cisco ... Employers will usually expect you to do further study to get professional
 ...",33,https://www.prospects.ac.uk/job-profiles/network-engineer
